地名,センター,プラスチック,ペットボトル,びん,かん,雑誌・雑紙,紙パック,段ボール,新聞,古着・古布,可燃ごみ,不燃ごみ,有害ごみ
暁町１〜３丁目,収集地区7,火,隔月20140106,隔水20140108,隔水20140115,隔木20140109,隔木20140109,隔木20140109,隔水20140108,隔水20140108,火 金,隔金20140117,隔金20140117
旭町,収集地区16,金,隔木20140116,隔月20140113,隔月20140106,隔火20140114,隔火20140114,隔火20140114,隔水20140115,隔月20140113,月 木,隔水20140108,隔水20140108
東町,収集地区16,金,隔木20140116,隔月20140113,隔月20140106,隔火20140114,隔火20140114,隔火20140114,隔水20140115,隔月20140113,月 木,隔水20140108,隔水20140108
石川町,収集地区15,木,隔水20140108,隔金20140110,隔金20140117,隔月20140106,隔月20140106,隔月20140106,隔水20140108,隔金20140110,火 金,隔火20140114,隔火20140114
泉町,収集地区1,月,隔金20140117,隔火20140114,隔火20140107,隔水20140115,隔水20140115,隔水20140115,隔水20140115,隔火20140114,月 木,隔木20140109,隔木20140109
犬目町,収集地区4,火,隔月20140113,隔水20140115,隔水20140108,隔木20140116,隔木20140116,隔木20140116,隔水20140115,隔水20140115,月 木,隔金20140110,隔金20140110
上野町,収集地区11,水,隔火20140107,隔木20140109,隔木20140116,隔金20140110,隔金20140110,隔金20140110,隔水20140108,隔木20140109,火 金,隔月20140113,隔月20140113
打越町,収集地区4,火,隔月20140113,隔水20140115,隔水20140108,隔木20140116,隔木20140116,隔木20140116,隔水20140115,隔水20140115,月 木,隔金20140110,隔金20140110
宇津木町,収集地区18,金,隔木20140116,隔月20140113,隔月20140106,隔火20140114,隔火20140114,隔火20140114,隔水20140108,隔月20140113,火 金,隔水20140108,隔水20140108
宇津貫町,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
梅坪町,収集地区7,火,隔月20140106,隔水20140108,隔水20140115,隔木20140109,隔木20140109,隔木20140109,隔水20140108,隔水20140108,火 金,隔金20140117,隔金20140117
裏高尾町,収集地区10,水,隔火20140114,隔木20140116,隔木20140109,隔金20140117,隔金20140117,隔金20140117,隔水20140108,隔木20140116,火 金,隔月20140106,隔月20140106
追分町,収集地区15,木,隔水20140108,隔金20140110,隔金20140117,隔月20140106,隔月20140106,隔月20140106,隔水20140108,隔金20140110,火 金,隔火20140114,隔火20140114
大塚,収集地区10,水,隔火20140114,隔木20140116,隔木20140109,隔金20140117,隔金20140117,隔金20140117,隔水20140108,隔木20140116,火 金,隔月20140106,隔月20140106
大船町,収集地区11,水,隔火20140107,隔木20140109,隔木20140116,隔金20140110,隔金20140110,隔金20140110,隔水20140108,隔木20140109,火 金,隔月20140113,隔月20140113
大谷町,収集地区18,金,隔木20140116,隔月20140113,隔月20140106,隔火20140114,隔火20140114,隔火20140114,隔水20140108,隔月20140113,火 金,隔水20140108,隔水20140108
